tick,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
2_a1_power,0.0,0.1945840158541022,4.876368812327751,5.272840034119475,3.3333333333333335,0.0,3.3333333333333335,5.305045212585699,4.432418643104265,4.585218515396655,4.333209205130745,4.382031932527529,10.530660501208681,7.636002899816155,6.633191022603916,5.197624850769788,6.998241065712989,4.4544978284309,4.306003211148634,6.595089094889282,4.432418643104265,11.411150472685257,4.360917836104684,6.711017620693827,11.411150472685257,11.655904796854452,10.31421425720366,11.274953631613215,6.618059121800031,4.6012339111537,6.618059121800031,6.5494707988302565,4.491950167111117,4.4843939942534305,4.617385317950293,4.56144918443002,11.480243819441709,9.472914270021134,4.850132106250821,3.81794010471866,3.013767184263146,4.335940680509055,4.947782869732849,4.4265846198082555,3.6549189014395367,10.640541475940491,4.6012339111537,11.550004729597676,11.376853132632029,11.091248523455905,9.74145498465351,11.207843718418786,6.5722264043571075,4.499539336304509,4.734301782994652,5.027729450113886,5.219947351290237,5.027729450113886,4.432418643104265,4.700202646010184,4.885553523287968,4.8220203968244055,4.7953314293036895,4.998627868164857,4.617385317950293,5.305045212585699,4.777717184957506,4.585218515396655,4.9133261939911534,5.106986888102121,0.0,5.359509354888818,5.168025148922912,5.057168112276687,5.4942952886596,5.1271800944165316,5.0969473635735625,4.8490322108454516,5.106986888102121,4.960346751151406,5.057168112276687,5.0969473635735625,4.8220203968244055,5.188678147313946,4.8220203968244055,4.989001912087957,0.0,3.3333333333333335,5.008291061936517,4.969861425468674,4.4544978284309,4.885553523287968,4.491950167111117,4.768963367322378,4.813088298334052,5.251565928232817,11.480243819441709,4.979413121818376,11.3427214798889,4.625512205207027,9.792178668247258
2_a1_rotation,0.0,9.66796875e-2,0.4931640625,0.5322265625,0.5712890625,0.583984375,0.568359375,0.53515625,0.4404296875,0.4599609375,0.4267578125,0.43359375,0.3857421875,0.3408203125,0.3251953125,0.2998046875,0.3310546875,0.443359375,0.4228515625,0.4169921875,0.4404296875,0.404296875,0.4306640625,0.421875,0.404296875,0.4111328125,0.3818359375,0.400390625,0.41796875,0.4619140625,0.41796875,0.4150390625,0.4482421875,0.447265625,0.4638671875,0.45703125,0.40625,0.3662109375,0.29296875,0.2705078125,0.25,0.2822265625,0.294921875,0.2841796875,0.2666015625,0.3876953125,0.4619140625,0.408203125,0.4033203125,0.3955078125,0.37109375,0.3984375,0.416015625,0.44921875,0.4775390625,0.5087890625,0.52734375,0.5087890625,0.4404296875,0.4736328125,0.494140625,0.4873046875,0.484375,0.505859375,0.4638671875,0.53515625,0.482421875,0.4599609375,0.4970703125,0.5166015625,0.5966796875,0.5400390625,0.5224609375,0.51171875,0.5517578125,0.5185546875,0.515625,0.490234375,0.5166015625,0.501953125,0.51171875,0.515625,0.4873046875,0.5244140625,0.4873046875,0.5048828125,0.5859375,0.55859375,0.5068359375,0.5029296875,0.443359375,0.494140625,0.4482421875,0.4814453125,0.486328125,0.5302734375,0.40625,0.50390625,0.40234375,0.46484375,0.3720703125
2_a2_power,0.0,6.768233848613621e-4,3.5357463054568474,5.299870306067139,6.814086399770751,3.985738149218872,5.722260048012491,4.291086479155926,2.3611621495696284,2.157229004167146,2.9785873797512843,2.2142453608630057,2.2142453608630057,1.232113189510162,1.1008878356089173,0.7324259801147549,0.6819673751957153,1.570331942538412,1.271433030861015,1.480621024948837,1.352564603658199,2.157229004167146,1.8103021083939062,2.2142453608630057,2.331274378089254,2.12909159147356,1.9389500661669843,2.3611621495696284,4.202308224006931,2.3913042835337976,1.9389500661669843,1.8867838415773752,1.9920690722636885,0.962728768775481,2.5144380003711144,2.3913042835337976,2.0189885628950375,1.2516701796042227,0.7042588970498401,0.410783263867399,0.3465335730490174,0.5385747383786627,1.047628534950177,0.7923578190101637,0.8982105151529081,1.9920690722636885,1.5250367384326573,3.157256366646829,2.0461494823245645,0.8366411418509356,0.2742650793070606,1.6165152597231771,1.861055327829894,1.271433030861015,2.9436824160587776,4.2465426862575955,4.801792276623997,4.518483126612271,3.4191927808115348,2.8406057918260323,3.2306780257403003,4.11476298022006,4.2465426862575955,4.158382014596797,4.335940680509055,6.693129134807485,3.4191927808115348,2.331274378089254,5.668276820228261,5.403447930983007,8.104753258219935,10.15475874447238,4.850132106250821,8.95227180930901,9.640805713095212,9.74145498465351,6.338862552081309,4.801792276623997,5.046735624233624,3.2678118945874126,4.658702062514684,4.850132106250821,8.381028279601416,9.247378276948362,4.997095959202326,8.381028279601416,9.173002938175186,9.541215897718951,9.74145498465351,5.668276820228261,4.611644823378182,4.518483126612271,4.2465426862575955,5.096702942633878,6.5736118201762075,7.834617426277828,3.380918592015884,3.7767396695522386,1.4370761796298723,2.9436824160587776,5.831252575973203
2_a2_rotation,0.0,1.46484375e-2,0.263671875,0.3017578125,0.328125,0.2744140625,0.3095703125,0.28125,0.23046875,0.2236328125,0.2490234375,0.2255859375,0.2255859375,0.185546875,0.1787109375,0.150390625,0.15234375,0.201171875,0.1875,0.197265625,0.19140625,0.2236328125,0.2109375,0.2255859375,0.2294921875,0.22265625,0.2158203125,0.23046875,0.279296875,0.2314453125,0.2158203125,0.2138671875,0.2177734375,0.1708984375,0.2353515625,0.2314453125,0.21875,0.1865234375,0.1484375,0.1240234375,0.1171875,0.1357421875,0.17578125,0.16015625,0.1669921875,0.2177734375,0.19921875,0.25390625,0.2197265625,0.1630859375,0.1083984375,0.203125,0.212890625,0.1875,0.248046875,0.2802734375,0.2919921875,0.2861328125,0.2607421875,0.2451171875,0.255859375,0.27734375,0.2802734375,0.2783203125,0.2822265625,0.326171875,0.2607421875,0.2294921875,0.30859375,0.3037109375,0.34765625,0.37890625,0.29296875,0.359375,0.369140625,0.37109375,0.3203125,0.2919921875,0.296875,0.2568359375,0.2890625,0.29296875,0.3515625,0.36328125,0.2958984375,0.3515625,0.3623046875,0.3671875,0.37109375,0.30859375,0.2880859375,0.2861328125,0.2802734375,0.2978515625,0.32421875,0.34375,0.259765625,0.26953125,0.1953125,0.248046875,0.3115234375
2_a3_power,0.0,5.414587078890898e-6,0.16130596366723873,0.42056341191371116,0.735783003970495,0.32949406805201,0.40115592750086887,0.735783003970495,0.3211878909327292,0.7496653395002418,0.6689365073023991,0.3465335730490174,0.4405869560119741,0.40115592750086887,0.1561582956773109,0.17193820728755863,0.3130224930774994,0.1945840158541022,0.28935894268038664,0.20054026218114437,0.21281493054872777,0.2669190889631031,0.20054026218114437,0.2817446294656308,0.1945840158541022,0.23884666090193782,0.29710922219290137,0.14137466808957916,0.450832758547071,0.410783263867399,0.5044502057451328,0.4825207269951002,0.20661683266549521,0.3130224930774994,0.14619385113005423,0.21281493054872777,0.49340424756393303,0.3049966712447479,0.16130596366723873,0.14619385113005423,0.21281493054872777,0.1105714832782932,8.803236213123002e-2,6.031509087438752e-2,6.878530992813252e-2,0.12755483700188996,0.10267661423674594,0.23884666090193782,0.14137466808957916,0.2669190889631031,0.35526930740989027,0.22558052147813076,0.32949406805201,0.5502824794250601,0.3049966712447479,0.2526229747527337,0.17193820728755863,0.11886101555581297,0.1320563642670701,0.20054026218114437,0.20054026218114437,0.38235487684086217,0.20661683266549521,0.24567044440317565,0.14619385113005423,0.1945840158541022,0.3049966712447479,0.29710922219290137,0.4304975748813786,0.5156598047802721,0.5621586742916898,0.5156598047802721,0.6501098176167363,0.32949406805201,0.39168019957254757,0.450832758547071,0.1887468904427956,0.5621586742916898,0.36415063400110653,0.5621586742916898,0.37317875606423945,0.2321504210074472,0.40115592750086887,0.6819673751957153,0.3049966712447479,0.1561582956773109,0.1945840158541022,0.5156598047802721,0.2669190889631031,0.18302768270565153,0.24567044440317565,0.1945840158541022,0.20661683266549521,0.17742518940109694,0.2742650793070606,0.1887468904427956,0.16656553312346362,0.23884666090193782,0.1320563642670701,0.29710922219290137,0.2817446294656308
2_a3_rotation,0.0,2.9296875e-3,9.08203125e-2,0.125,0.15625,0.115234375,0.123046875,0.15625,0.1142578125,0.1572265625,0.1513671875,0.1171875,0.126953125,0.123046875,8.984375e-2,9.27734375e-2,0.11328125,9.66796875e-2,0.1103515625,9.765625e-2,9.9609375e-2,0.107421875,9.765625e-2,0.109375,9.66796875e-2,0.103515625,0.111328125,8.69140625e-2,0.1279296875,0.1240234375,0.1328125,0.130859375,9.86328125e-2,0.11328125,8.7890625e-2,9.9609375e-2,0.1318359375,0.1123046875,9.08203125e-2,8.7890625e-2,9.9609375e-2,8.0078125e-2,7.421875e-2,6.54296875e-2,6.8359375e-2,8.3984375e-2,7.8125e-2,0.103515625,8.69140625e-2,0.107421875,0.1181640625,0.1015625,0.115234375,0.13671875,0.1123046875,0.10546875,9.27734375e-2,8.203125e-2,8.49609375e-2,9.765625e-2,9.765625e-2,0.12109375,9.86328125e-2,0.1044921875,8.7890625e-2,9.66796875e-2,0.1123046875,0.111328125,0.1259765625,0.1337890625,0.1376953125,0.1337890625,0.14453125,0.115234375,0.1220703125,0.1279296875,9.5703125e-2,0.1376953125,0.119140625,0.1376953125,0.1201171875,0.1025390625,0.123046875,0.15234375,0.1123046875,8.984375e-2,9.66796875e-2,0.1337890625,0.107421875,9.47265625e-2,0.1044921875,9.66796875e-2,9.86328125e-2,9.375e-2,0.1083984375,9.5703125e-2,9.1796875e-2,0.103515625,8.49609375e-2,0.111328125,0.109375
2_a4_power,0.0,0.0,2.5067532772643052e-5,2.0054026218114431e-7,0.0,1.6043220974491545e-6,1.2834576779593236e-5,9.852543080959624e-4,1.382143540978665e-2,1.70828216936386e-2,3.336488612038789e-2,8.598163741016565e-3,5.974294950638471e-3,5.974294950638471e-3,4.402259835400481e-3,4.402259835400481e-3,3.947233980511464e-3,3.524695648095793e-3,9.852543080959624e-4,4.4058695601197415e-4,1.375505658300469e-3,2.439973369957983e-3,3.947233980511464e-3,2.7722685843921398e-3,2.135352711704825e-3,3.524695648095793e-3,3.947233980511464e-3,7.206815402003785e-3,9.35640647232347e-3,1.2834576779593243e-2,1.1895847812323302e-2,2.439973369957983e-3,7.206815402003785e-3,4.402259835400481e-3,7.8820344647677e-3,6.571303311151737e-3,5.502824794250601e-4,2.0054026218114431e-7,0.0,0.0,6.878530992813251e-5,4.3316696631127184e-5,1.4619385113005421e-4,9.852543080959624e-4,1.375505658300469e-3,4.402259835400481e-3,1.2834576779593243e-2,2.0820691640432952e-2,3.524695648095793e-3,4.4058695601197415e-4,2.135352711704825e-3,9.852543080959624e-4,4.402259835400481e-3,2.7722685843921398e-3,2.0054026218114431e-7,6.768233848613621e-4,1.827423139125678e-2,2.2178148675137118e-2,1.1895847812323302e-2,5.974294950638471e-3,6.768233848613621e-4,4.4058695601197415e-4,8.214129138939671e-4,8.214129138939671e-4,4.890976454335928e-3,4.890976454335928e-3,2.7722685843921398e-3,3.133441596580381e-3,1.2834576779593243e-2,1.9519786959663863e-2,1.2834576779593243e-2,9.35640647232347e-3,2.135352711704825e-3,1.0157965900261504e-2,2.0820691640432952e-2,3.1577871844091714e-2,2.9855832612742227e-2,7.206815402003785e-3,1.0157965900261504e-2,5.974294950638471e-3,1.382143540978665e-2,1.9519786959663863e-2,3.1577871844091714e-2,2.5067532772643047e-2,2.2178148675137118e-2,1.70828216936386e-2,1.2834576779593243e-2,3.336488612038789e-2,3.1577871844091714e-2,1.1004045266403752e-2,2.5067532772643047e-2,4.551882925013832e-2,2.5067532772643047e-2,2.5067532772643047e-2,3.9127811634687426e-2,1.485762694447662e-2,1.5944354625236246e-2,3.947233980511464e-3,4.890976454335928e-3,1.5944354625236246e-2,3.336488612038789e-2
2_a4_rotation,0.0,0.0,4.8828125e-3,9.765625e-4,0.0,1.953125e-3,3.90625e-3,1.66015625e-2,4.00390625e-2,4.296875e-2,5.37109375e-2,3.41796875e-2,3.02734375e-2,3.02734375e-2,2.734375e-2,2.734375e-2,2.63671875e-2,2.5390625e-2,1.66015625e-2,1.26953125e-2,1.85546875e-2,2.24609375e-2,2.63671875e-2,2.34375e-2,2.1484375e-2,2.5390625e-2,2.63671875e-2,3.22265625e-2,3.515625e-2,3.90625e-2,3.80859375e-2,2.24609375e-2,3.22265625e-2,2.734375e-2,3.3203125e-2,3.125e-2,1.3671875e-2,9.765625e-4,0.0,0.0,6.8359375e-3,5.859375e-3,8.7890625e-3,1.66015625e-2,1.85546875e-2,2.734375e-2,3.90625e-2,4.58984375e-2,2.5390625e-2,1.26953125e-2,2.1484375e-2,1.66015625e-2,2.734375e-2,2.34375e-2,9.765625e-4,1.46484375e-2,4.39453125e-2,4.6875e-2,3.80859375e-2,3.02734375e-2,1.46484375e-2,1.26953125e-2,1.5625e-2,1.5625e-2,2.83203125e-2,2.83203125e-2,2.34375e-2,2.44140625e-2,3.90625e-2,4.4921875e-2,3.90625e-2,3.515625e-2,2.1484375e-2,3.61328125e-2,4.58984375e-2,5.2734375e-2,5.17578125e-2,3.22265625e-2,3.61328125e-2,3.02734375e-2,4.00390625e-2,4.4921875e-2,5.2734375e-2,4.8828125e-2,4.6875e-2,4.296875e-2,3.90625e-2,5.37109375e-2,5.2734375e-2,3.7109375e-2,4.8828125e-2,5.95703125e-2,4.8828125e-2,4.8828125e-2,5.6640625e-2,4.1015625e-2,4.19921875e-2,2.63671875e-2,2.83203125e-2,4.19921875e-2,5.37109375e-2
2_a5_power,0.0,0.16656553312346362,5.508366347974469,8.807102684871339,6.6411367364626095,10.530660501208681,6.5494707988302565,6.5143904497172285,4.706078332563064,6.633191022603916,6.338862552081309,6.814086399770751,4.028442125338231,1.2127609827716987,0.6633769597418542,1.0651861928093274,1.4156276380143742,1.5250367384326573,1.3319675296791316,1.1936124815816982,1.1008878356089173,1.3115806280913347,1.835561776037783,1.1936124815816982,1.8103021083939062,1.8103021083939062,1.5475738652542257,1.760480114322318,3.2678118945874126,5.197624850769788,5.146998992210221,3.4191927808115348,2.9090512153784887,3.496605559724881,1.7359156322803369,0.9793271782847285,2.8406057918260323,1.5933120480923504,0.8517607999713439,0.6633769597418542,0.47179844079706085,0.5044502057451328,0.37317875606423945,0.5742045262201245,1.271433030861015,1.6874743091483289,1.6165152597231771,2.739963933910626,9.247378276948362,2.3611621495696284,0.9793271782847285,1.8867838415773752,2.4523559501420586,4.658702062514684,7.901579607578384,3.6549189014395367,3.57517805911519,4.518483126612271,2.7069526773538257,2.4832676384004198,4.898795278018059,3.157256366646829,3.9012377105875906,3.0492229074014965,3.1209664207862047,4.028442125338231,2.8406057918260323,2.9785873797512843,3.2306780257403003,4.850132106250821,5.831252575973203,4.850132106250821,6.338862552081309,5.722260048012491,5.3514920584191925,4.753774711330457,2.9436824160587776,3.57517805911519,3.3429310999180704,5.88626403176396,5.146998992210221,11.207843718418786,6.397016893476913,9.894427634556608,8.879489469480953,5.403447930983007,7.636002899816155,9.690997566502338,11.091248523455905,7.122835929755944,11.445613901228507,10.585462250265033,8.663511470078902,9.843169317982111,7.768034633088694,4.071450043069581,4.706078332563064,5.561331048016387,3.6549189014395367,5.9416203858378225,5.776584940658427
2_a5_rotation,0.0,9.1796875e-2,0.3056640625,0.357421875,0.4189453125,0.3857421875,0.4150390625,0.3232421875,0.2900390625,0.3251953125,0.3203125,0.328125,0.275390625,0.1845703125,0.1455078125,0.1767578125,0.1943359375,0.19921875,0.1904296875,0.18359375,0.1787109375,0.189453125,0.2119140625,0.18359375,0.2109375,0.2109375,0.2001953125,0.208984375,0.2568359375,0.2998046875,0.298828125,0.2607421875,0.2470703125,0.2626953125,0.2080078125,0.171875,0.2451171875,0.2021484375,0.1640625,0.1455078125,0.1298828125,0.1328125,0.1201171875,0.138671875,0.1875,0.2060546875,0.203125,0.2421875,0.36328125,0.23046875,0.171875,0.2138671875,0.2333984375,0.2890625,0.3447265625,0.2666015625,0.2646484375,0.2861328125,0.2412109375,0.234375,0.2939453125,0.25390625,0.2724609375,0.2509765625,0.2529296875,0.275390625,0.2451171875,0.2490234375,0.255859375,0.29296875,0.3115234375,0.29296875,0.3203125,0.3095703125,0.302734375,0.291015625,0.248046875,0.2646484375,0.2587890625,0.3125,0.298828125,0.3984375,0.3212890625,0.3740234375,0.3583984375,0.3037109375,0.3408203125,0.3701171875,0.3955078125,0.3330078125,0.4052734375,0.38671875,0.35546875,0.373046875,0.3427734375,0.2763671875,0.2900390625,0.306640625,0.2666015625,0.3134765625,0.310546875
