flow,losses
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
2.3260644243660265,3.484973919510851e-2
3.4757888668018624,7.817202979010651e-2
8.40934457555022,0.46569180305252983
10.981611876221415,0.8003629290247655
13.254736959853645,1.1730991005575075
14.22605686213764,1.3545262229881065
15.572272124880113,1.6279577190824004
18.337224061357645,2.2695971481474504
19.114606443779437,2.4693392931958034
21.033460616355775,2.9985047682241643
22.428949858167318,3.4154346949672036
24.141638753495528,3.9637001070786932
23.45063465911272,3.7376742314172957
23.111134653730577,3.629009948942835
22.835549301693955,3.541962524722792
23.53093663377547,3.763606820520458
23.45063465911272,3.7376742314172957
22.21659387875399,3.350255860520653
21.083184277868632,3.0128979894662002
19.232930802587695,2.500483708685936
17.58886538951709,2.085319390741423
15.62484785541302,1.6391546951460345
14.66505680133044,1.440885501858336
11.198364724437893,0.8327789774858748
7.633225408374159,0.38272699323813
5.579282639250801,0.20301849129619498
1.1091708979798736,7.884313913647228e-3
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
1.1091708979798736,7.884313913647228e-3
2.921204680627719,5.5095879412465215e-2
9.034292685535021,0.5385452232608633
9.528439416669482,0.5999841246992386
13.767908991438903,1.267295887618326
14.22605686213764,1.3545262229881065
15.398643533098495,1.5912570524759462
17.690800110951734,2.109957355358507
19.618663635398864,2.603372263970897
21.033460616355775,2.9985047682241643
23.45063465911272,3.7376742314172957
25.082365907887183,4.281819934787554
23.72491689322785,3.8266132603437466
23.04658184344007,3.6085267707614768
23.789061852012896,3.847560882630393
23.789061852012896,3.847560882630393
23.176116452203217,3.64968684116217
22.47799962025931,3.4305778182635747
19.97005315485205,2.698908551774176
19.618663635398864,2.603372263970897
17.246494882963447,2.003636394055959
16.369581367386065,1.80194281592442
12.41844159546045,1.0275305111387245
11.342530259909772,0.8547035957166255
8.40934457555022,0.46569180305252983
6.367159105718428,0.2651476063796517
2.3260644243660265,3.484973919510851e-2
1.1091708979798736,7.884313913647228e-3
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
