tick,metric,forecast,actual,error,abs_error
95,houseA,2.247202,0.101244,-2.145958,2.145958
95,houseB,2.697555,0.310312,-2.387242,2.387242
95,sun,0.417321,0.021435,-0.395886,0.395886
95,wind,9.71423,9.71423,0.0,0.0
96,hospital,4.786993,0.221944,-4.565049,4.565049
96,factory,5.140877,0.12381,-5.017067,5.017067
96,office,3.533619,0.0,-3.533619,3.533619
96,houseA,1.837904,0.043559,-1.794345,1.794345
96,houseB,2.902989,0.185953,-2.717036,2.717036
96,sun,0.0,-0.483807,-0.483807,0.483807
96,wind,10.632243,10.632243,0.0,0.0
97,hospital,5.124014,0.218596,-4.905418,4.905418
97,factory,5.173529,0.120815,-5.052714,5.052714
97,office,3.499626,0.0,-3.499626,3.499626
97,houseA,2.241349,0.05991,-2.181439,2.181439
97,houseB,2.618815,0.178937,-2.439878,2.439878
97,sun,0.0,-0.39177,-0.39177,0.39177
97,wind,8.710931,8.710931,0.0,0.0
98,hospital,5.191534,0.248624,-4.94291,4.94291
98,factory,5.246066,0.128776,-5.11729,5.11729
98,office,3.568275,0.0,-3.568275,3.568275
98,houseA,2.265676,0.053633,-2.212044,2.212044
98,houseB,2.958205,0.189218,-2.768987,2.768987
98,sun,0.0,0.047828,0.047828,0.047828
98,wind,9.79094,9.79094,0.0,0.0
99,hospital,4.693048,0.215643,-4.477405,4.477405
99,factory,4.980606,0.12266,-4.857946,4.857946
99,office,3.605575,0.0,-3.605575,3.605575
99,houseA,2.024771,0.054682,-1.97009,1.97009
99,houseB,2.980881,0.204854,-2.776028,2.776028
99,sun,0.0,-0.407591,-0.407591,0.407591
99,wind,11.870907,11.870907,0.0,0.0
